stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
22297,297,Lillard Drive & Cowell Blvd,Buses head Eastbound,38.541165,-121.722191,0
22299,299,Alhambra & Atlantis / Arroyo,Buses head Westbound,38.558117,-121.699002,0
22300,300,Fifth Street & Verona Terrace,Buses head Eastbound,38.556453,-121.705363,0
22301,301,Anderson & Sunset,Buses head Northbound,38.549044,-121.758621,0
22302,302,Anderson & Sunset,Buses head Southbound,38.548921,-121.75883,0
22304,304,Tilia & Celadon,Buses head Eastbound,38.541897,-121.773298,0
22305,305,The Green/Tilia Roundabout,Buses head Eastbound,38.541995,-121.77525,0
22306,306,Jade St & Sage St / West Village Square - Drop Off Only,Buses head Westbound,38.541096,-121.771641,0
22310,310,La Rue & Aggie Stadium,Buses head Northbound,38.536399,-121.76082,0
22312,312,F Street & Faro,Buses head Southbound,38.566094,-121.74532,0
22313,313,F Street & Bueno,Buses head Southbound,38.56173,-121.744797,0
22314,314,Oak Street & Fourteenth Street / Davis High School,Buses head Northbound,38.55609,-121.752208,0
22316,316,Russell & Arthur,Buses head Eastbound,38.546378,-121.77112,0
22317,317,Fifth Street & L Street,Buses head Westbound,38.548392,-121.735275,0
22318,318,Research Park Drive & Cowell / Axis Apartments,Buses head Eastbound,38.544878,-121.722861,0
22319,319,Fifth Street & K Street,Buses head Eastbound,38.548176,-121.735642,0
22325,325,L Street & Duke,Buses head Southbound,38.550094,-121.734861,0
22326,326,Second Street & Cousteau Place,Buses head Westbound,38.550112,-121.71092,0
22343,343,Cowell Blvd & Schmeiser Ave,Buses head Westbound,38.549829,-121.68376,0
22344,344,Glide Drive & Schmeiser Ave,Buses head Eastbound,38.552212,-121.684202,0
22352,352,Chiles Rd & Mace Blvd,Buses head Westbound,38.551013,-121.693521,0
22357,357,Pole Line Rd & Loyola Drive,Buses head Northbound,38.556161,-121.727317,0
22358,358,Glide Drive & Schmeiser Ave,Buses head Westbound,38.552428,-121.684379,0
22359,359,Glide Drive & El Cemonte Ave,Buses head Westbound,38.551916,-121.689936,0
22361,361,Hutchison Drive & Health Sciences Drive,Buses head Westbound,38.537511,-121.764306,0
22362,362,Covell Blvd & Pole Line Rd,Buses head Westbound,38.562652,-121.73024,0
22363,363,Covell Blvd & Wright Blvd,Buses head Westbound,38.563519,-121.718295,0
22364,364,Covell Blvd & Wright Blvd,Buses head Eastbound,38.563304,-121.717839,0
22494,494,Arlington Blvd & Bucklebury Rd,Buses head Northbound,38.54888,-121.778511,0
22495,495,Arlington Blvd & Calaveras Ave/Emerson Junior High,Buses head Northbound,38.550708,-121.778964,0
22496,496,Glide Drive & El Cemonte Ave,Buses head Eastbound,38.551355,-121.690542,0
22497,497,Cowell Blvd & El Cemonte Ave,Buses head Eastbound,38.548811,-121.689966,0
22498,498,Schmeiser Ave & Cowell Blvd,Buses head Northbound,38.549914,-121.683489,0
22973,973,Alhambra Drive & Fifth St,Buses head Westbound,38.558258,-121.705705,0
22374,374,Moore & Sargent,Buses head Westbound,38.564383,-121.71983,0
22376,376,Moore Village,Buses head Westbound,38.566255,-121.724054,0
22375,375,Moore & Pole Line Rd,Buses head Westbound,38.570436,-121.729552,0
22371,371,J St & Drexel Drive/Holmes Junior High,Buses head Northbound,38.557104,-121.740636,0
22372,372,J St & Menlo Drive,Buses head Northbound,38.558958,-121.739166,0
22609,609,Hutchison & Bioletti Temp Terminal,Detour Route Eastbound,38.539154,-121.756864,0
22700,700,Sacramento Airport Terminal A,Buses head Westbound,38.692561,-121.588738,0
22701,701,Sacramento Airport Terminal B,Buses head Southbound,38.691273,-121.590634,0
